health_sector_discussed,health_sector_discussed_people_names,health_data_information_systems_discussed,health_data_information_systems_summary,health_data_challenges,health_service_delivery_improvement_recommendations,health_sector_decisions,health_evidence_base,health_evidence_requested,date,filename
No,,No,,,,No decisions.,Climate change and rising water levels,,2022-11-22,"Hansard November 22, 2022_0"
Yes,"Hon. Joel Karuri,Hon. Anthony Rotich,Hon. Wilson Wachira,Hon. Karanja,Hon. Virginia Wamaitha",Yes,"Discussions included the budget allocation for the Department of Health, challenges in equipping health facilities, and the importance of proper planning in the health sector.","Underperforming local revenue collection, lack of equipment in health facilities, unrealistic targets for development projects","Equip health facilities, set realistic targets for development projects, enhance revenue collection mechanisms",,,,2022-03-15,"Hansard March 15, 2022 (2)_0"
No,,No,,,,No decisions.,,,2023-07-18,"Hansard July 18, 2023 (2)_0"
Yes,"Hon. Joel Karuri, Hon. Njuguna Mwaura, Hon. Peter Palang'a",No,,"Low absorption of Development Funds, high expenditure on non-critical recurrent expenditure","1. Implement measures to improve budget execution, 2. Identify and address issues causing delays in development projects, 3. Establish optimal staffing structure, 4. Fast track forensic audit of debts and pending bills, 5. Address own source of revenue performance",No decisions.,Observations and data from the budget implementation,No specific request for health sector information was mentioned.,2022-04-06,"Hansard April 6, 2022_0"
No,,No,,,,No decisions.,None,,2023-09-19,"Hansard September 19, 2023 Morning Session_0"
No,,No,,,"Upgrading facilities, allocating funds effectively",No decisions.,"Budget and Appropriations Committee Report, County Treasury reports",No health sector information requested.,2022-02-22,"Hansard February 22, 2022 (2)_0"
No,,No,,,,No decisions.,,,2022-11-29,"Hansard November 29, 2022_0"
Yes,Njuguna Mwaura,No,,,"Generate more Motions, Statements, and Bills.",No decisions.,Visit report of the Committee on Health services to Bondeni Sub-County Hospital on 28th February 2023.,,2023-04-19,"Hansard April 19, 2023 MORNING SESSION_0"
No,,No,,,,No decisions.,N/A,N/A,2022-03-15,"Hansard March 15, 2022_0"
Yes,"Hon. Philip Wanjohi, Hon. Joel Karuri, Hon. Eddy Kiragu, Hon. Isaac Wahome, Hon. Virginia Wamaitha",No,,"The challenges identified include a high rate of accumulated recurrent pending bills since the inauguration of the county government, unbudgeted spending on pending bills, and the accumulation of debts inherited from defunct local authorities.",1. Departments will be responsible for paying their pending bills in the future to curtail unbudgeted spending. 2. Departmental pending bills will be prioritized for payment before planning for other expenditures in the following financial year.,No decisions.,"The discussions were based on the Medium-Term Debt Management Strategy Paper for 2022, financial reports, and audit findings.",No specific health sector information was requested during the transcript.,2022-03-22,"Hansard March 22, 2022 (2)_0"
Yes,"Hon. Anthony Kanyere, Hon. Njuguna Mwaura, Hon. Alex Mbugua, Hon. Mwangi Muraya, Hon. Jane Gituku",Yes,"Discussions included issues related to health facility management, patient care, staff shortages, infrastructure needs, and equipment requirements.","Shortage of drugs, inadequate infrastructure, lack of categorization for hospitals, lack of ownership documents, inadequate staff establishment, dilapidated structures, lack of specialists, inadequate services, and insufficient equipment","Allocate more resources for staff recruitment, construct a morgue and theater, equip the facility with essential equipment, buy an ambulance, refurbish the facility, complete the Maternity Wing, work with the Department of Lands for title deed issuance, ensure adequate HIV testing kits, implement drug tracking system",,Reports from visits to Mirugi Kariuki Hospital and Njoro Sub-County Hospital,Health sector information requested from the Committee on Health Services,2023-08-02,"Hansard August 2, 2023 Afternoon Session_0"
No,,No,,,,No decisions.,None,,2023-03-01,"Hansard March 1, 2023 AFTERNOON SESSION_0"
Yes,"Hon. Rose Chepkoech, Hon. David Macharia, Hon. Simon Kamau Karanja, Hon. Alex Mbugua, Hon. Anthony Kanyere, Hon. William Mutai, Hon. Grace Mwathi, Hon. Jane Gituku, Hon. Evelyn Chepkirui, Hon. Robert Rutto, Hon. James Gathuita",No,,"Lack of clear timeframes for waste management plans, need for awareness and education on epilepsy, access to medication for epilepsy patients","Develop a comprehensive database of all epileptic cases in the County and provide free medical services for such patients, provide free medication for people living with epilepsy, create awareness programs on epilepsy",No decisions.,"Personal experiences, observations, and local challenges",N/A,2023-04-12,"Hansard April 12, 2023 AFRENOON SESSION_1"
Yes,"Hon. Rose Chepkoech, Hon. Grace Mwathi, Hon. Alex Mbugua, Hon. Michael Gathanwa, Hon. Neto Sakwa, Hon. Eliud Kamau",No,,Improper waste disposal in healthcare facilities leading to environmental and health risks,"Implementation of proper waste management practices, installation of incinerators in healthcare facilities",,,,2023-11-21,"Hansard, November 21, 2023 (2)_0"
No,,No,,,,No decisions.,None,,2022-03-23,"Hansard March 23, 2022_0"
No,,No,,,,No decisions.,N/A,,2022-10-13,"Hansard October 13, 2022 (2)_0"
No,,No,,,"The importance of a Spatial Plan cannot be overstated because it addresses and gives a roadmap on serious primary issues touching on reframing of priorit ies as a County. Lack of an approved Spatial Plan is a hindrance to service provision. The Spatial Plan seeks to address historical skewed land rates, zoning, controlled development, and mitigating urban sprawl. It also addresses issues of mushrooming of slums, lack of an elaborate Spatial Plan leading to continued bad practices, and the need for dams to cope with water scarcity during dry spells.",,,,2022-05-17,"HANSARD MAY 17, 2022 MORNING SESSION_0"
Yes,"Hon. Alex Mbugua, Committee on Budget and Appropriations",No,,None identified,"Increase efficiency in the delivery of health services, provide consumer protection through Weights and Measures Unit",No decisions.,Implementation and performance data,No specific health sector information requested,2023-07-06,"Hansard July 6, 2023 (2)_2"
Yes,Hon. Francis Kuria,No,,,,No decisions.,Report on visit to Molo Sub-County Hospital,N/A,2023-10-18,"Hansard October 18, 2023_0"
Yes,"Hon. William Mutai, Hon. Jane Wanjiru Gituku, Hon. Bernard Gatuso, Hon. Fadhili Msuri, Hon. Rose Chepkoech, Hon. Mercy Kilel, Hon. Robert Langat, Hon. Alex Mbugua, Hon. James Gathuita, Hon. David Muraya, Hon. Francis Kuria",Yes,"Discussions were held on implementing a Cashless Payment System at County Health Facilities to improve financial accountability and reduce risks associated with cash transactions. Various electronic payment methods like M-PESA, mobile banking, credit/debit cards, and e-wallets were recommended for implementation.","The challenges identified included the risk of tampering with receipts, theft by con men at health facilities, inconvenience caused to patients by cash transactions, and the potential for theft of physical cash.","Recommendations included digitalizing patient registration, drug records, and attendance records, implementing cashless payment systems gradually to facilitate acceptance, and providing alternative payment options for individuals with disabilities or limited literacy.",No decisions.,"Discussions were based on the advantages of implementing a Cashless Payment System to improve revenue collection, enhance accountability, and reduce risks associated with physical cash transactions.",Not specified,2023-02-22,"Hansard February 22, 2023 AFTERNOON SESSION_0"
Yes,"Hon. Anthony Kanyere, Madam Rosaline Mungai, Honorable David Gitau, Hon. Bernard Kariuki, Hon. Alex Bor, Hon. Francis Kuria, Hon. Fadhili Msuri, Hon. Degaule Naburuki, Hon. Hellen Chemutai, Hon. William Mutai, Hon. Bernard Kariuki, Hon. Joel Karuri, Hon. Hassan",No,,"Inadequate resources, Insecurity, Lack of regulations, Inadequate staffing, Lack of clear guidelines on revenue sharing","1. Increase Budgetary allocation to the Department for Capacity Building and Training for Officers and Consultative Forums with Stakeholders.
2. Fast-track the formulation of Regulations for the Department of Public Service.
3. Engage the Council of Governors to fast-track a Revenue-Sharing Formula between the County Government and the Judiciary.
4. Formulate a clear Succession Plan for replacing Officers who exit the service.
5. Spearhead sensitization and Civil Education Campaigns for creating awareness of County Legislation.
6. Fast-track the formulation of a Policy on the protection of vulnerable groups, including Street Families, in adherence to International Conventions.",,,,2023-10-25,"Hansard October 25, 2023_1"
No,,No,,"The challenges around bursary allocation, including delays in funds reaching schools and discrepancies in fund utilization.","Allocate bursaries per Ward, streamline the bursary application and disbursement process, ensure funds are disbursed via cheques instead of Electronic Fund Transfer (EFT), and involve Ward Committees in managing bursaries effectively.",No decisions.,Transcript of discussions around bursary allocation and challenges faced in fund disbursement.,No specific health sector information requested.,2023-09-19,"Hansard September 19, 2023 Afternoon Session_0"
Yes,"Hon. Simon Kamau, Hon. Robert Ruto, Hon. Michael Njenga, Hon. Philip Wanjohi, Hon. Peter Palang’a, Hon. Njuguna Mwaura",No,,"Lack of Risk Management Policy, Lack of Information Technology Strategic Committee","1. Management should provide clear documentation on how the shares were issued and paid by 30th October 2023. 2. The Management should furnish the Committee with the Share Certificates for confirmation of Share ownership by the same date. 3. Determine the accuracy of production Meters by testing and calibrating, and replacing if faulty or inaccurate. 4. Eliminate major commercial losses by servicing, testing, and replacing faulty Customer Meters and identifying illegal uses. 5. Install Meters for Unmetered Customers and identify Unbilled Customers through Customer Identification Survey (CIS) and issue them with bills. 6. Reduce the time taken to repair bursts, surface leaks, and overflows. 7. Management should seek funding to upgrade its infrastructure to prevent Non-Revenue Water and adhere to Water Regulatory Authority Services Board. 8. Nakuru Rural Water and Sanitation Company Management should adequately plan to set up an ICT Strategic Committee.",,,,2023-10-04,"Hansard October 4, 2023_0"
Yes,"Hon. Njuguna Mwaura, Hon. Joseph Muraya",Yes,Status report on newly constructed health facilities and equipment necessary for operationalization,Lack of sanitary facilities in some newly constructed facilities,Request for funds to equip and operationalize health facilities,,Report on newly constructed health facilities and equipment,Evidence requested from the Implementation Committee,2023-11-14,"Hansard, November 14, 2023 (2)_0"
No,,No,,,,No decisions.,,,2022-04-13,"Hansard April 13, 2022_0"
Yes,"Hon. Njuguna Mwaura, Hon. Wilson Mwangi, Hon. Joseph Kamanu, Hon. Peter Mbae, Hon. John Ndonyo, Hon. Simon Mwangi",No,,"Lack of recognition and guiding laws for Community Health Volunteers, non-receipt of stipends by volunteers","Enacting laws to recognize and support Community Health Volunteers, ensuring stipend payments, providing NHIF cover, equipment, and training for volunteers",No decisions.,"Public memorandums, challenges in rural areas, infant mortality rates, need for training and capacity building for Community Health Volunteers",,2022-04-05,"Hansard April 5, 2022_0"
Yes,"Honorable Njuguna Mwaura, Honorable Agnes Nangane, Honorable Rose Amoit, Honorable Shadrack Masinde",No,,"Lack of clear strategy to seal revenue loss loopholes, Need for cashless payment system at Cess Collection Points, Lack of clear strategy to minimize revenue loss","Department of Finance and Economic Planning to gazette all Cess Collection Points, Department of Finance and Economic Planning to deploy appropriate number of Enforcement Officers, Department of Finance and Economic Planning in consultation with the Department of ICT to come up with long-term strategies including installation of CCTV Cameras at all Cess Points, Department of Finance and Economic Planning to come up with convenient Cashless Payments System at all Cess Points, Improving working conditions for Enforcement Officers by introducing a container to provide shelter",,,,2023-04-11,"Hansard April 11, 2023 AFTERNOON SESSION_0"
No,,No,,,,No decisions.,,,2023-04-04,"Hansard April 4, 2023 MORNING SESSION_0"
Yes,Hon. Peter Njuguna Mwaura,No,,,,No decisions.,Reports from the Committee on Health on Visit to Elburgon Sub-County Hospital,,2023-10-03,"Hansard October 3, 2023 (2)_0"
No,,No,,,,No decisions.,,,2022-03-02,"Hansard March 2, 2022_0"
No,,No,,,,No decisions.,,,2023-03-14,"Hansard March 14, 2023 AFTERNOON SESSION_0"
No,,No,,,,No decisions.,,,2023-02-14,"Hansard February 14, 2023 AFTERNOON SESSION_0"
No,,No,,,,No decisions.,None,,2022-05-10,"Hansard May 10, 2022 (2)_0"
Yes,"Hon. Rose Chepkoech, Hon. Simon Kamau Karanja, Hon. Alex Mbugua, Hon. Anthony Kanyere, Hon. William Mutai, Hon. Grace Mwathi, Hon. James Gathuita, Hon. Evelyn Chepkirui, Hon. Robert Rutto",No,,"Lack of comprehensive waste management systems, inadequate resources for waste recovery, lack of policies for epilepsy patients' medication access","Provide free medical services for epilepsy patients, develop a comprehensive database of all epileptic cases in the County, involve CHVs and MCAs in epilepsy patient support",,,,2023-04-12,"Hansard April 12, 2023 AFRENOON SESSION_0"
No,,Yes,"Discussions were held on the Audit Report of Nakuru Water and Sanitation Company Limited for the year that ended June 2021, highlighting issues related to non-revenue water, internal controls, and financial statements.","Challenges identified include high Non-Revenue Water, lack of strong internal controls leading to financial losses, and unpaid debts by the County Government.","Recommendations include testing and calibrating production meters, servicing and testing customer meters, identification of illegal water users, funding for infrastructure upgrades, and adherence to water management standards.",No decisions.,"Audit Report of Nakuru Water and Sanitation Company Limited, responses provided by the Company Management, and observations by the Public Accounts and Investments Committee.",Information and documents requested from Nakuru Water and Sanitation Company Limited for audit purposes.,2023-09-26,"Hansard September 26, 2023 Morning Session_2"
No,,No,,,,No decisions.,,,2023-10-25,"Hansard October 25, 2023 (2)_0"
Yes,"Hon. Njuguna Mwaura,Hon. David Muraya,Hon. Bernard Langat,Hon. Stanley Karanja,Hon. Eliud Kamau,Hon. Alex Mbugua",Yes,"Discussions on the quality of health services offered, achievements, challenges, and areas for improvement at Bondeni Sub County Hospital.",1) Insufficient drug supplies and lack of drug storage facilities. 2) Lack of standby generator. 3) Unoperationalized hospital theatre. 4) Need for a perimeter wall for security enhancement. 5) Non-automation of hospital management systems. 6) Outstanding debt owed by NHIF to the facility. 7) Inadequate and outdated resources and infrastructure.,"1) Ensure adequate drug supply in health facilities. 2) Appropriate funds to purchase standby generator, equipment for the hospital theatre, and employ staff. 3) Erect perimeter wall for security, automate hospital systems, and acquire a new ambulance. 4) Ensure NHIF clears outstanding debt to the facility. 5) Create awareness about services at Bondeni Sub County Hospital to dispel the notion of only offering maternity services. 6) Renovate electrical and plumbing installations, implement a proper waste disposal system, and establish a referral system mechanism. 7) Enhance waste disposal system in all hospitals for safe waste management.",,,,2023-08-01,"Hansard August 1, 2023 Morning Session_0"
No,,No,,,,No decisions.,N/A,,2023-11-15,"Hansard, November 15, 2023_0"
No,,No,,,,No decisions.,,None,2022-04-12,"Hansard April 12, 2022 (2)_0"
No,,No,,,"Allocate funds to County Wards Equitable Development Fund, legislation to provide for administration of the fund",No decisions.,"Constitution of Kenya, County of Nakuru law on Ward Development Fund",,2022-11-30,"Hansard November 30, 2022_1"
No,,No,,No challenges identified,No recommendations discussed,No decisions.,No evidence discussed,No health sector information requested.,2022-02-16,"Hansard February 16, 2022_0"
Yes,"Hon. Ben Langat, Hon. William Mutai",No,,,,No decisions.,Report on Health Services Committee on the site visit to the Nakuru for Provincial General Hospital,,2023-02-28,"Hansard February 28, 2023 MORNING SESSION_0"
No,,No,,,,No decisions.,No evidence was discussed.,,2023-11-03,"Hansard November 3, 2023_0"
No,,Yes,Discussions were held regarding the need for a comprehensive database of all Epileptic Cases in the County and providing free Medical Services to such Patients.,Lack of accessible and affordable health care for low-income families affected by epilepsy.,Develop a comprehensive database of all Epileptic Cases in the County and provide free medical services to such patients.,No decisions.,Personal experiences and observations of the Members of the County Assembly.,Data on epilepsy cases and the need for free medical services were requested from the Department of Health.,2023-04-05,"Hansard April 5, 2023 Morning Session_0"
Yes,"Hon. Njuguna Mwaura, Hon. William Mutai, Hon. Anthony Kanyere, Hon. Isaac Rottok, Hon. Stanley Karanja, Hon. John Macharia, Hon. Alex Mbugua",Yes,"The Committee on Health Services visited Nakuru Level 5 Hospital (PGH) to assess the quality of services offered, the working environment of the staff, challenges faced, and make recommendations for improvement.","Shortage of Human Resource, transition of equipment and resources, incomplete Trauma Centre, lack of proper fencing, malfunctioning waste management systems, land ownership disputes","1. Allocate funds for recruitment and hiring of staff, refurbishment of infrastructure, and repairing of Cold Rooms
2. Complete the Trauma Centre
3. Ensure operational waste management systems
4. Resolve land ownership disputes
5. Address delays in NHIF reimbursement
6. Supervise and manage underutilized medical staff effectively
7. Collaborate with the Ministry of Health to improve training for medical staff",,,,2023-02-28,"Hansard February 28, 2023 AFTERNOON SESSION_0"
No,,No,,,No,No decisions.,No evidence used.,,2023-06-06,"Hansard June 6, 2023 (2)_0"
No,,No,,,,No decisions.,Petitions and committee reports,No specific health sector information requested.,2023-10-18,"Hansard October 18, 2023 (2)_0"
No,,No,,No challenges identified,"Monitor and implement laws promoting economic well-being, generate revenue, maximize county resources, promote health and sanitation measures, and respond effectively to climate change",,,,2022-02-08,"Hansard February 8, 2022_0"
No,,No,,,,No decisions.,"Political parties’ activities, nominations, pending bills, and statements.","Data on ECD classrooms, road grants distribution, headquarters projects distribution, road construction, land subdivisions, quarry activities, laborers' dues, suspension of municipal workers, construction of social hall, revenue allocation review, water disconnection, pollution by bakery industry, waiver on outstanding land rates, appointment of an executive member, community resettlement.",2023-06-29,"Hansard June 29, 2023_0"
No,,No,,,,No decisions.,Not applicable,,2022-03-30,"Hansard March 30, 2022_0"
Yes,"Hon. Njuguna Mwaura, Hon. Jane Gituku",No,,"Inadequate staffing level, insufficent water supply, inadequacy of space in the dental unit","1. Allocate resources for recruitment of more staff, especially nurses. 2. Provide adequate space for healthcare services. 3. Install a perimeter wall for security of healthcare facilities. 4. Process title deeds for healthcare facility lands.",,Committee findings and observations during the visit to Elburgon Sub County Hospital,"Documentation for title deeds of healthcare facilities, reports on security status of healthcare facilities",2023-10-04,"Hansard October 4, 2023 (2)_1"
Yes,Hon. Joel Karuri,Yes,"Discussions were held regarding the implications of the Constitution and Standing Orders on committee membership, specifically the Budget and Appropriation Committee. Gender representation, political parties, marginalized groups, and independent members were highlighted as key considerations.","Challenges in considering gender representation, marginalized groups, and independent members for committee membership. Offense to Constitutional provisions and High Court findings were identified.",No recommendations mentioned.,No decisions.,"Constitution, Standing Orders, High Court findings",No health sector information requested,2022-10-19,"Hansard October 19, 2022 (2)_0"
No,,No,,,,,,,2022-11-09,"Hansard November 9, 2022 (2)_0"
Yes,"Hon. Njuguna Mwaura, Hon. Peter Palanga",No,,"Understaffing, inadequate facilities, lack of ICU beds","Proper training, proactive monitoring, and evaluation of labor and post-partum processes",No decisions.,Reports of maternal deaths at the Naivasha Sub-County Referral Hospital,Medical reports and investigations on maternal deaths,2023-03-08,"Hansard March 8, 2023 MORNING SESSION_0"
No,,No,,,,No decisions.,No evidence used.,,2023-03-07,"Hansard March 7, 2023 MORNING SESSION_0"
Yes,"Hon. Alex Mbugua, Hon. Philip Wanjohi, Hon. Njuguna Mwaura, Hon. Peter Njoroge, Hon. Wilson Mwangi, Hon. Hassan Ali",No,,No specific challenges identified,"Focus on completion of ongoing projects, prioritize and fast-track ward projects for timely completion, economic analysis of project suitability, submit detailed programs and projects for approval, participatory identification or privatization of programs and projects, ensure personnel costs are met with budget allocation",,,,2023-05-02,"Hansard May 2, 2023_1"
No,,No,,,,No decisions.,,,2022-02-09,"Hansard February 9, 2022 (2)_0"
No,,No,,,,No decisions.,,,2023-11-15,"Hansard, November 15, 2023 (2)_0"
Yes,"Hon. Joseph Kamanu, Hon. Njuguna Mwaura, Hon. Philip Wanjohi, Hon. Samuel Tonui, Hon. Jambo Kenya, Hon. Isaac Wahome",No,,,,No decisions.,Order Paper,,2022-04-05,"Hansard April 5, 2022 (2)_0"
No,,No,,,,No decisions.,Committee recommendations,,2022-12-15,"Hansard December 15, 2022_0"
Yes,"Hon. Moses Ndung’u Kamau, Hon. Njuguna Mwaura",No,,,,No decisions.,Reports of the Committee on Health Services,No specific requests,2022-03-30,"Hansard March 30, 2022 (2)_0"
