health_sector_discussed,health_sector_discussed_people_names,health_data_information_systems_discussed,health_data_information_systems_summary,health_data_challenges,health_service_delivery_improvement_recommendations,health_sector_decisions,health_evidence_base,health_evidence_requested,date,filename
Yes,"Honorable Njuguna Mwaura, Honorable Agnes Nangane, Hono urable Rose Amoit, Honorable Shadrack Masinde",No,,No challenges identified,"1. Department of Finance and Economic Planning to gazette all Cess Collections Points within the County and deploy appropriate number of Enforcement Officers.
2. Department of Finance and Economic Planning in consultation with the Department of ICT to come up with long-term strategies including installation of CCTV Cameras at all Cess Points.
3. Department of Finance and Economic Planning to come up with convenient Cashless Payments System at all Cess Points.
4. Improving working conditions for Enforcement Officers, preferably introducing a container to provide shelter.
5. Allocate more resources in the Financial Year 2023/2024 for recruitment of Staff such as Nurses, Lab Technicians, Sonographers, Pharmaceutical Technicians, and others.
6. Procure necessary equipment such as Auto Clay Machines, Patients Lockers, X-Rays Machines, Dental Units, Delivery Beds, Resuscitating Machine, Physiotherapy Equipment, and other required machines.
7. Establish a fully automated system for the facility for easier Referral Systems and revenue collection.
8. Implement structural updates and renovations to improve the facility.
9. Procure a backup generator for the Maternity Wing and a Bio Digester to manage medical waste efficiently.
10. Purchase a new Incinerator and consider building Staff Quarters for officers.
11. Procure a new Ambulance to serve various Health Facilities in the Sub-County.",,,,2023-04-11,"Hansard April 11, 2023 AFTERNOON SESSION_1"
No,,No,,,"Fast-track reforms for improvement in budget absorption, address budget cycle challenges, and resolve pending bills. Institute revenue value chain enhancement strategies, improve efficiency, and implement expenditure control measures.",,,,2023-03-15,"Hansard March 15, 2023 AFTERNOON SESSION_0"
No,,No,,"Access to cheap fertilizer benefiting specific areas only, contract healthcare workers in need of permanent positions","Consider permanent positions for contract healthcare workers, organize fertilizer distribution to benefit all farmers, support potato farmers facing challenges with middlemen",No decisions.,Governor's speech and observations in the county,No specific health sector information requested,2022-11-08,"Hansard November 8, 2022 (2)_1"
No,,No,,,No,No decisions.,,,2023-10-17,"Hansard October 17, 2023_0"
Yes,"Hon. Anthony Kanyere, Hon. Ali Abdi Hassan, Hon. John Macharia, Hon. Rose Chepkoech, Hon. Alex Bor, Hon. Grace Mwathi, Hon. William Mutai, Hon. Virginia Gicanga, Hon. Njuguna Mwaura",No,,"Lack of completion and attention to stalled water pan project, danger posed by incomplete project to residents and animals","Passing a report to address negligence, facility infrastructure challenges, and inadequate human resources at Naivasha Sub-County Hospital",,,,2023-03-08,"Hansard March 8, 2023 AFTERNOON SESSION_0"
No,,Yes,Discussions about the Nakuru County Supplementary Appropriation Budget and reallocation of the County Department Budgets.,"KRA demand notice, pending bills, low revenue collection",1. Focus on completing ongoing projects. 2. Prioritize and fast-track Ward Projects. 3. Undertake an economic analysis of projects. 4. Hasten procurement processes. 5. Formulate policies to address revenue shortfalls. 6. Ensure timely completion of projects to reduce rollover projects.,No decisions.,Reports and financial data,N/A,2023-11-03,"Hansard November 3, 2023 (2)_1"
Yes,"Kezia Akinyi Okumu, Joel Karuri",No,,"Lack of medical equipment, shortage of medical staff",Enhancing public health institutions,No decisions.,Observations and recommendations,Information on the status of Sirikwa Health Centre and Bursary Disbursed Balances,2023-08-09,"Hansard August 9, 2023 Afternoon Session_0"
Yes,"Hon. Anthony Kanyere, Hon. Njuguna Mwaura, Hon. Alex Mbugua, Hon. Mwangi Muraya, Hon. Jane Gituku",Yes,"Discussions were held on the status, challenges, and recommendations for Mirugi Kariuki Hospital and Njoro Sub-County Hospital in Nakuru County.","Shortage of drugs, inadequate infrastructure, categorization issues, lack of staff, inadequate equipment, incomplete construction, inadequate space, and shortage of medical supplies.","Allocate more resources for staff recruitment, construct a morgue and theater, equip the facilities with essential equipment, buy an additional ambulance, complete the maternity wing, fast track issuance of title deed, ensure adequate HIV testing kits, and implement a tracking system for drug movement.",,Reports and findings from visits to Mirugi Kariuki Hospital and Njoro Sub-County Hospital.,"Information regarding drug shortage, inadequate infrastructure, hospital categorization, staff shortages, equipment needs, completion status of ongoing construction, title deed issuance, HIV testing kits, drug tracking system, specialist doctor availability, theater and morgue requirements, and NHIF payment status.",2023-08-02,"Hansard August 2, 2023 Afternoon Session_1"
No,,No,,No specific health data challenges identified in the transcript.,The transcript discusses the County Wards Equitable Development Fund and the importance of allocating funds for ward development projects to improve service delivery at the local level.,No decisions.,"Constitution of Kenya, discussions on County Wards Equitable Development Fund",No specific health sector information requested.,2022-11-30,"Hansard November 30, 2022_0"
No,,No,,,,No decisions.,,,2022-09-21,"Hansard September 21, 2022_1"
Yes,"Hon. Njuguna Mwaura, Hon. Isaac Rottok, Hon. William Mutai, Hon. Anthony Kanyere, Hon. Stanley Karanja, Hon. John Macharia, Hon. Alex Mbugua",No,,"Shortage of human resources, lack of staff to operate equipment, incomplete facilities like the Trauma Centre, inadequate waste management system, land ownership disputes","1. Allocate funds for recruitment and hiring of staff, refurbishment of infrastructure, and repair of facilities at the PGH in the Financial Year 2023/2024.
2. Ensure completion of the Trauma Centre.
3. Ensure operational microwave and shredder machines for waste management.
4. Resolve land ownership tussles between institutions.
5. Address issues of NHIF reimbursement delays.
6. Supervise underutilized staff and introduce a biometric system.
7. Address human resource challenges and collaborate with the Ministry of Health for staff training and payment during medical training.",,,,2023-02-28,"Hansard February 28, 2023 AFTERNOON SESSION_1"
No,,No,,,,No decisions.,N/A,,2023-09-27,"Hansard September 27, 2023 Afternoon Session_0"
No,,No,,,"Formulation of Human Resource Policy and Strategies, Develop a Code of Conduct, Promote dialogue with employees and unions, Open Door Policy and Consultations, Automation of employees",,,,2023-10-03,"Hansard October 3, 2023_0"
No,,No,,,"Fast-track reforms for improvement in budget absorption, address budget cycle challenges, resolve pending bills, improve efficiency and expenditure control measures",,,,2023-03-15,"Hansard March 15, 2023 AFTERNOON SESSION_1"
No,,No,,,,No decisions.,None,,2023-08-09,"Hansard August 9, 2023 Afternoon Session_2"
No,,No,,,,,None,,2022-04-06,"Hansard April 6, 2022 (2)_0"
No,,Yes,"The Committee on ICT and E-Government discussed the visit to the Shabaab Digital Centre, including its status, achievements, challenges, and areas of improvement in service delivery. They highlighted the training programs offered, collaboration with Generation Program Kenya, and the benefits for the youths in Nakuru County.","- Frequent Internet instability
- Computers not functional due to hardware issues
- Dust affecting computers due to untiled floor","1. Repair non-functional computers
2. Contract two Internet service providers to minimize instability
3. Budget for floor tiles to reduce dust affecting computers
4. Employ a substantive Chief Officer for ICT department",,,,2023-09-27,"Hansard September 27, 2023 Morning Session_1"
No,,No,,,,No decisions.,,,2022-11-22,"Hansard November 22, 2022 (2)_0"
Yes,Alex Mbugua,No,,Lack of coordination between health facilities,Enhance training for health staff,No decisions.,Previous CIDP performance review,Revenue from health facilities,2023-07-06,"Hansard July 6, 2023 (2)_1"
Yes,"Njuguna Mwaura, Francis Kuria, George Tallam, David Wathiai, Hellen Chemutai Megek, Virginia Wamaitha",No,,Lack of quorum during health motion discussions,Ensure quorum is maintained during health-related discussions,No decisions.,Observations of low attendance during health motion discussions,No health sector information requested in the transcript,2023-04-25,"Hansard April 25, 2023 AFTERNOON SESSION_0"
No,,No,,,,,County Assembly proceedings,No requests were made for health sector information.,2022-09-21,"Hansard September 21, 2022_0"
No,,Yes,"The transcript discussed the Menengai Digital Center's training program, challenges, observations, and recommendations related to ICT and e-Government.","Lack of registration for Menengai Digital Center, non-functional computers, internet instability, congested ICT hub, lack of a board to manage the center, lack of permanent teachers, and absence of a projector.",1. Repair non-functional computers. 2. Contract two internet service providers. 3. Hire two permanent teachers and establish a board of management for the center. 4. Construct a new modern structure for the Digital Center. 5. Register Menengai Digital Center to issue accredited certificates. 6. Provide Menengai Digital Center with a projector.,No decisions.,Committee findings and observations during the visit to Menengai Digital Center.,Information on the status of service delivery at Menengai Digital Center and its ICT training program.,2023-09-20,"Hansard September 20, 2023 Morning Session_0"
Yes,"Peter Maina, Laban Omusundi, Benson Oluande, Philip Wanjohi, Njuguna Mwaura, David Wathiai",No,,"The Petition discussed challenges related to the functions of the National Government as stipulated in Schedule 4 of the Constitution of Kenya, 2010.",The Committee recommended adopting the Report on the Utilisation of Bursary Funds in Nakuru County. The Hon. Njuguna Mwaura recommended further interrogation of the recommendation and advising the public on the County's affirmative action in providing bursaries for education.,No decisions.,"The evidence used to inform decisions and recommendations included the Constitution of Kenya, acts such as the Nakuru County Bursaries Fund Act, regulations, international human rights standards, progressive realization of the right to education, global education efforts, Millennium Development Goals, and education law and policy framework.","The Petition requested the County Assembly of Nakuru to intervene and stop the County Executive from issuing bursaries that facilitate functions of the National Government, as per Schedule 4 of the Constitution of Kenya, 2010.",2023-04-11,"Hansard April 11, 2023 MORNING SESSION_0"
No,,No,,,,,,,2023-07-25,"Hansard July 25, 2023_0"
No,,No,,,,No decisions.,,,2023-11-08,"Hansard, November 8, 2023_0"
Yes,"Hon. Njuguna Mwaura, Hon. Jane Gituku, Hon. Elijah Murage, Hon. Rose Chepkoech, Hon. Mwangi Muraya, Hon. Njuguna Mwaura, Hon. Njuguna Mwaura, Hon. Njuguna Mwaura, Hon. Njuguna Mwaura, Hon. Njuguna Mwaura, Hon. Njuguna Mwaura, Hon. Robert Ruto, Hon. Njuguna Mwaura, Hon. Degaulle Naburuki, Hon. Njuguna Mwaura, Hon. Rose Chepkoech, Hon. Njuguna Mwaura, Hon. Alex Mbugua, Hon. Njuguna Mwaura, Hon. Njuguna Mwaura",No,,1. Inadequate staffing level in the Hospital. 2. Inadequacy of space as the Dental Unit shares space with the Health Records Office. 3. Insufficient water supply due to breakdown of the pump. 4. Maternity Unit completion urgency. 5. Morgue facilities improvement needed. 6. Lack of perimeter wall affecting security of the Facility. 7. Inadequate waste disposal system.,"1. Department of Health should work with Department of Lands and Housing to process title deeds. 2. County Government to allocate resources for recruitment of more staff, especially nurses. 3. Hospital management to secure adequate space for Health Records Office and Dental Unit. 4. Department of Water to inspect and repair water pumps in facilities. 5. Security Committee to assess security status of facilities and recommend improvements. 6. Installation of a perimeter wall at the Facility for enhanced security. 7. Procurement of operational incinerator for proper disposal of medical waste.",,,,2023-06-29,"Hansard June 29, 2023 (3)_1"
No,,No,,No challenges identified,Allow the process as it is and conduct second phase vetting for Lock-Ups,No decisions.,Testimony from committee members and residents,,2023-09-26,"Hansard September 26, 2023 Afternoon Session_1"
No,David Wathiai,No,,No challenges identified,No recommendations discussed,No decisions.,No specific evidence used,No health sector information requested,2022-11-30,"Hansard November 30, 2022 (2)_0"
No,,No,,,,No decisions.,,,2022-11-15,"Hansard November 15, 2022_0"
No,,No,,,,,No evidence presented,,2023-07-18,"Hansard July 18, 2023_0"
Yes,"Hon. David Wathiai, Hon. Isaac Rottok, Hon. Keziah Okumu",No,,,,No decisions.,None,,2023-10-24,"Hansard October 24, 2023 (2)_0"
Yes,"Hon. Njuguna Mwaura,Hon. David Muraya,Hon. Bernard Langat,Hon. Stanley Karanja,Hon. Eliud Kamau,Hon. Alex Mbugua",Yes,"Discussions on health data and information systems included the objective of the visit to Bondeni Maternity Hospital, the challenges and areas of improvement identified, and the quality of services offered to the public.","Challenges identified included inadequate staffing levels, outdated infrastructure, insufficient medical supplies, lack of waste disposal system, and unpaid debts from NHIF.","Recommendations discussed included ensuring adequate drug supply in health facilities, purchasing a standby generator, equipping and employing staff for the hospital's operations, erecting a perimeter wall for security, automating systems, and purchasing a new ambulance. Additionally, liaising with NHIF to settle owed amounts, creating awareness about services offered, renovating electrical and plumbing systems, and implementing a waste disposal system were recommended.",No decisions.,"Committee interactions with the Hospital Board and Management, findings and observations at Bondeni Sub County Hospital, and discussions on challenges and improvement areas informed the recommendations.","Health sector information was requested from the Hospital Board and Management, Committee Members, and County Government of Nakuru as part of the discussions.",2023-08-01,"Hansard August 1, 2023 Morning Session_1"
No,,No,,,,No decisions.,,,2022-02-09,"Hansard February 9, 2022_0"
Yes,"Hon. Njuguna Mwaura, Hon. Simon Kamau, Hon. Philip Wanjohi, Hon. Robert Lang’at, Hon. John Macharia, Hon. David Macharia, Hon. William Mutai, Hon. Bernard Kirui, Hon. Wilson Mwangi",Yes,"Discussions were held on the status of Sirikwa Health Centre in Sirikwa Ward, including its staffing norms, target population estimates, service availability, challenges faced, and recommendations for improvement.",1. Insufficient staffing levels at Sirikwa Health Centre. 2. Need for renovation and equipment upgrade in the Maternity section. 3. Absence of proper shelves in the dispensing area. 4. Structural improvements and completion tasks pending. 5. Lack of PVC rainwater gutters and a 5000-liter tank for efficient rainwater management.,"1. Recommend upgrading Sirikwa Health Centre to a Level Four Facility. 2. Investment in staffing, equipment, and infrastructure improvements. 3. Diversify comprehensive plans for facility enhancement. 4. Allocate funds for new and existing facilities to align with health norms. 5. Reinforce dedication to robust health infrastructure.",,The discussions and recommendations were based on the current status and challenges faced by Sirikwa Health Centre in Sirikwa Ward.,The health sector information was requested from the County Executive to furnish the Committee with updates on Sirikwa Health Centre in Sirikwa Ward.,2023-10-11,"Hansard October 11, 2023_0"
Yes,"Hon. Joel Karuri,Members",No,,"Lack of gender representation, marginalized groups, and independent members in the Budget and Appropriation Committee",Inclusive membership considerations in Committees,No decisions.,"Constitution, Standing Orders, Practice, Norms, Precedents","Gender representation, political parties representation, representation of the marginalized and independent Members",2022-10-19,"Hansard October 19, 2022 (2)_1"
Yes,"Hon. Njuguna Mwaura, Hon. Grace Mwathi, Hon. Eliud Chege, Hon. Anthony Kanyere, Hon. Peter Palang’a, Hon. David Wathiai",Yes,"Discussions about the Molo Sub-County Hospital, its establishment, services offered, staff establishment, findings, observations, and recommendations.","Shortage of staff, inadequate infrastructure, accumulated debt, lack of proper waiver system, inadequate drug supplies","Allocate funds for recruitment of medical staff, settle accumulated debts, improve psychiatric services, fast track completion of projects, establish a youth-friendly center, ensure adequate drug supplies",,,,2023-11-21,"Hansard, November 21, 2023_0"
No,,No,,,,,,,2022-03-29,"Hansard March 29, 2022 (2)_0"
No,,No,,,,No decisions.,None,,2022-05-10,"Hansard May 10, 2022_0"
No,,No,,,,,,,2023-04-18,"Hansard April 18, 2023 MORNING SESSION_0"
No,,No,,,,No decisions.,,,2023-07-06,"Hansard July 6, 2023_0"
No,,No,,,"The Committee recommended the repair of non-functional computers, contracting two Internet service providers to minimize instability, budgeting for floor tiles at the Shabaab Digital Centre, and appointing a substantive Chief Officer in charge of ICT for effective execution of departmental activities.",,Findings and observations during the visit to the Shabaab Digital Centre.,No specific health sector information was requested.,2023-09-27,"Hansard September 27, 2023 Morning Session_0"
No,,No,,,,No decisions.,N/A,,2022-02-15,"Hansard February 15, 2022 (2)_0"
No,,No,,,,No decisions.,,,2022-02-23,"Hansard February 23, 2022_0"
No,,No,,,,No decisions.,N/A,,2023-11-07,"Hansard, November 7, 2023_0"
No,,No,,No specific challenges identified,Focus on completing ongoing projects and prioritizing Ward projects,,,,2023-11-03,"Hansard November 3, 2023 (2)_0"
No,,No,,Maintaining and servicing existing machinery,Proper maintenance of equipment and establishment of a maintenance unit,,,,2023-04-26,"Hansard April 26, 2023_0"
No,,No,,,,No decisions.,,,2022-04-13,"Hansard April 13, 2022 (2)_0"
No,,No,,,No,No decisions.,Her Excellency's speech,None,2022-10-19,"Hansard October 19, 2022_0"
No,,No,,,,,No evidence discussed,,2023-04-25,"Hansard April 25, 2023 MORNING SESSION_0"
Yes,"Honorable Members, Honorable Speaker, Hon. Stanley Karanja, Hon. Alex Langat, Hon. Philip Wanjohi, Hon. Peter Palang’a, Mr. Speaker, Hon. Wilson Mwangi, Hon. Stanley Karanja, Hon. Robert Lang’at, Hon. William Mutai, Hon. Makori",Yes,"Discussions on digitalizing health sector accountability, completion of incomplete hospitals and dispensaries, appointment of locals in hospital boards, hiring of agricultural extension officers, challenges in the education system","Unfinished hospitals and dispensaries, lack of nurses in health centers, accountability in drug issuance, absence of agricultural extension officers, flaws in the education system","Completing construction of hospitals and dispensaries, appointing locals in hospital boards, hiring more nurses, ensuring accountability in drug issuance, hiring agricultural extension officers, addressing flaws in the education system",,,,2022-11-08,"Hansard November 8, 2022_0"
No,,No,,"Poor workmanship on roads, use of substandard materials",Ensure roads are constructed according to standards before handing over,No decisions.,Warning issued by the Department of Metrological Services about El Nino rains,"Information on County Government preparedness for El Nino rains, mitigation measures, and construction standards",2023-09-20,"Hansard September 20, 2023 Afternoon Session_0"
No,,No,,"Identifying ownership of a hospital land, expired lease, hospital closure",Create a Ward Projects Savings Account to fund additional projects,,,,2023-11-08,"Hansard, November 8, 2023_1"
No,,No,,,,No decisions.,Consultations and discussions within the County Assembly of Nakuru.,Names of the Members to serve in various committees.,2022-10-13,"Hansard October 13, 2022_1"
No,,No,,,,No decisions.,,,2022-11-08,"Hansard November 8, 2022 (2)_0"
No,,No,,,No,No decisions.,Constitution,,2023-11-08,"Hansard, November 8, 2023 (2)_0"
No,,No,,"The challenges identified include misallocation of funds for Persons with Disabilities (PWDs), delays in disbursement of funds, and discrepancies in fund utilization.","1. Allocate Kshs 27.5 million in the Financial Year 2023 - 2024, shared equally across the 55 Wards.
2. Amend Nakuru County People Living with Disability Regulations to conform to the recommendations of the Controller of Budget for better fund utilization and alignment with the PWDs Act 2016.",No decisions.,"Budget Committee findings and interactions with the Department of Sports, Youth, Gender, Culture, and Social Services.",The Petition by Ambrose Kiplangat Lasoy demanded intervention from the Assembly on the misallocation and underutilization of funds for Persons with Disabilities (PWDs) since the Financial Year 2019/2020.,2023-02-21,"Hansard February 21, 2023 MORNING SESSION_0"
Yes,Hon. William Tonui,No,,,The County Government through the department of Finance to come up with appropriate and convenient Cashless Mode of payment in all the relevant Health Facilities to improve financial accountability.,No decisions.,N/A,,2023-02-22,"Hansard February 22, 2023 MORNING SESSION_0"
No,,No,,,,No decisions.,N/A,,2022-11-23,"Hansard November 23, 2022 (2)_0"
Yes,"Hon. Njuguna Mwaura,Honorable Ann Wamaitha",Yes,"Discussions on prevalence of HIV/AIDS in youths and young mothers in Nakuru County, comparison of HIV data nationally vs. in Nakuru County, partners supporting HIV programs, HIV testing and positivity rates among teenagers, challenges in eliminating mother to child transmission, and strategies to curb rising HIV/AIDS infections among adolescents and teenage mothers.","Erratic commodity supply, inadequate equipment for infant testing, low male involvement, non-adherence to treatment due to stigma, inadequate funds for community PMTCT, and inadequate PMTCT sites.","Offer age-appropriate HIV prevention packages, implement ongoing programs for young mothers, conduct quarterly meetings for adolescents and young persons, operationalize support programs, decentralize PrEP and condoms, mobilize communities for change, engage with vulnerable children programs, and raise awareness on vulnerability.",No decisions.,"Kenya Health Information System, National Syndemic Disease Control Council","Detailed information on prevalence of HIV/AIDS among youth and young mothers in Nakuru County, measures by the County Department of Health Services to address rising cases of HIV/AIDS in teenagers and young mothers, and challenges in achieving elimination of mother to child transmission.",2023-08-02,"Hansard August 2, 2023 Morning Session_0"
No,,Yes,Discussed the vetting of the Nominee for the position of County Secretary and Head of Public Service.,"Issues of corruption, nepotism, favoritism, and demoralized County Public Service highlighted.","Formulation of Human Resource Policy, Code of Conduct, dialogue with employees and unions, Open Door Policy, and consultations proposed.",No decisions.,Records of the vetting proceedings and recommendations.,Requests for memorandums on the suitability of the Nominee for the position.,2023-10-03,"Hansard October 3, 2023_1"
